forecast_date	crps_hosp	crps_ww	bias_hosp	bias_ww	ae_hosp	ae_ww	wweval_commit_hash	wwinference_version	time_stamp
2023-10-16	9.243950678640694	6.806804188258501	0.5824578947368421	0.4910565789473684	12.075811587773888	9.080835846088256	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2023-11-13	6.798783532681564	4.377860426544979	-0.572275	-0.32701842105263157	8.806163742433748	5.917972294575069	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2023-12-11	5.578345847009017	5.404499318529154	-0.22773947368421052	-0.12964736842105262	7.0379402652994925	6.487141426491198	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2024-01-08	73.02250974305282	64.10560452659152	0.5030894736842105	0.5657434210526315	90.10392730630215	79.63998299207216	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2024-02-05	3.2543113736957956	4.331650777414377	-0.16031315789473685	0.14943684210526315	4.889963029507771	5.687676001142328	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2024-03-04	2.4436722259876116	4.390295509081186	0.2651552631578947	0.5207526315789474	3.274852617671909	6.112645792027634	51ddee5	227-inf-feedback	2024-10-25T17:16:51Z
2023-10-16	5.145227727175137	4.405852136963368	0.4824565789473684	0.45490394736842105	6.950701593150161	6.041583425908238	d23b28a	v0.1.0	2024-10-24T17:48:21Z
2023-11-13	4.66700940996615	4.019961671884518	-0.3123618421052632	-0.22545263157894735	6.145553133172695	5.324888683286438	d23b28a	v0.1.0	2024-10-24T17:48:21Z
2023-12-11	8.859086840566519	8.837148573389927	-0.5840236842105263	-0.511771052631579	11.50992521124024	11.344388151022924	d23b28a	v0.1.0	2024-10-24T17:48:21Z
2024-01-08	17.39089396390878	15.609039964313409	0.25387105263157894	0.3958921052631579	22.182123575526884	20.51478614874109	d23b28a	v0.1.0	2024-10-24T17:48:21Z
2024-02-05	3.324198357881111	5.079010312322833	0.26249342105263157	0.3663105263157895	4.572098587350526	7.344139936498404	d23b28a	v0.1.0	2024-10-24T17:48:21Z
2024-03-04	3.279328388379696	4.706364986307469	0.49960394736842106	0.6323973684210527	4.718323317619102	6.606204242479576	d23b28a	v0.1.0	2024-10-24T17:48:21Z
